searchTerm,Location,Content,Post Date,Post Year
#potholes,"[12.731936, 77.3305776]","Any guesses this is not Singapore this is in @Namma_Bengaluru. Wish all our roads are maintained like this in the IT capital. 

#potholes #roads #Roadsafety #Bengaluru #nammabengaluru #NammaMetro #BBMP https://t.co/Nx7potzL7p",2023-01-07 15:28:40+00:00,2023
#potholes,"[12.731936, 77.3305776]","Every #ward has a ward engineer who has to inspect their ward &amp; there is a ward committee. If #BBMP can facilitate better engagement with #citizens this would help in fixing the #streets of @Namma_Bengaluru 

#potholes
@BBMPCOMM
@BBMPAdmn
@the_hindu

https://t.co/teeWUjAISu",2023-01-07 06:56:25+00:00,2023
#potholes,"[12.919037, 77.373474]",This looks very appropriate for use in India. Easy to repair potholes and quick results. @NHAI_Official @BBMPCOMM #potholes,2023-01-04 00:56:12+00:00,2023
#potholes,"[12.919037, 77.373474]","And wrapping it up for another #Tuesday morning is this... @BBMPCOMM plans to use #AI to ""survey the condition"" of 1,434 kms of #roads. 

At Rs. 5 lakhs for 15 kms, #Bengaluru can probably afford it.

The question is.. should it? (Hindu)
#potholes
#thecuratednews 1/3 https://t.co/TJJOqp6Q7r",2022-12-27 07:34:02+00:00,2022
#potholes,"[12.657055, 77.556362]",#Bangalore #road #potholes https://t.co/Bqt3AT51Pg,2022-12-26 01:21:45+00:00,2022
#potholes,"[12.731936, 77.3305776]","The way I am riding my bike here in Bangalore in broad daylight to avoid potholes, I wouldn’t be surprised if a traffic cop stops me with a breath analyser in his hand. 🤷‍♂️
#potholes #Bangalore #Trafficpolice",2022-12-22 07:05:26+00:00,2022
#potholes,"[12.731936, 77.3305776]","Just saw this on Facebook today. #Bengaluru folks and their creativity I tell you! 

#offroading #thar #bengalurupotholes #potholes #mahindrathar https://t.co/cVfHiV2MgZ",2022-12-12 13:56:17+00:00,2022
#potholes,"[13.031196296781676, 77.71599724058952]",The famous Medahalli - Kadugodi Road (cant even say road since you need a magnifying glass to find tar). It's over a year; feel sad for the commuters esp school children @TOIBengaluru @WFRising @chairmanbwssb @BBMPCOMM #potholes https://t.co/ZHQbmGSnv4,2022-12-08 14:32:48+00:00,2022
#potholes,"[12.919037, 77.373474]","#BBMP-#Potholes-Roads and #BWSSB-#Drainage-BESCOM are #Deadly combinations for #NammaBengaluru. Real Deadly, you know what I mean",2022-11-25 03:17:19+00:00,2022
#potholes,"[12.731936, 77.3305776]","While many city #Potholes are filled up by @blrcitytraffic personnel, today even they are helpless and begging @BBMPCOMM s team to respond, at least, if not close the pit...",2022-11-24 16:09:48+00:00,2022
#potholes,"[12.919037, 77.373474]","@blrcitytraffic the road which was tarred did not last for 2 months, #Shame on #BBMP , yesterday night many bikers got injured and car got damaged with #deep #potholes. Don't you feel responsible and values citizens lives? U want to take action only when ur family members dies? https://t.co/GHIhCcR6IX",2022-11-16 08:54:54+00:00,2022
#potholes,"[12.731936, 77.3305776]","@narendramodi  Dear Sir, please do come for a drive in the ORR (IT corridor) next time you are in Bangalore atleast the road conditions may improve in that excuse!- Earnest request from a sad Bangalorean with back pain.
#bangaloreroads #potholes",2022-11-12 18:08:06+00:00,2022
#potholes,"[12.731936, 77.3305776]","Clearly they haven't seen #Bangalore roads.. looks like #BBMP took inspiration from this @BBMPSWMSplComm 
#potholes #Bangaloreroads",2022-11-07 03:51:16+00:00,2022
#potholes,"[12.731936, 77.3305776]",If #BBMP ties up with #ElonMusk then for every tweet on #potholes you will be charged $5...,2022-11-03 13:49:54+00:00,2022
