searchTerm,Location,Content,Post Date,Post Year
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]",This is a test tweet for a multi platform data aggregator being built for @SafeYelli #harassment #bangalore #assault #eveteasing,2023-01-26 07:41:13+00:00,2023
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","ಬಾರ್​ನಲ್ಲಿ ಕೂರಲು ಸ್ಥಳ ಸಿಗದೇ ಕಿರಿಕ್​ ಮಾಡಿದ ಯುವಕನಿಗೆ ಹಿಗ್ಗಾಮುಗ್ಗಾ ಥಳಿತ
#barfight #fight #police #arrested #assault #police #bangalore #crime
https://t.co/ETCkRhr9FF",2023-01-22 13:57:22+00:00,2023
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","ಹೇಳೋರು ಕೇಳೋರು ಯಾರೂ ಇಲ್ಲ ಎಂದು ಥಳಿಸಿದ ಸ್ಥಳೀಯರು!
#crime #assault #homeless #police #video #anekal #bangalore 
https://t.co/8is8pMUg8r",2023-01-18 07:18:33+00:00,2023
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","@DcpComdCentre @BlrCityPolice @CPBlr 

#harassment #Ramnagaram #Bangalore 
#Nowarrant https://t.co/AcpAElMJk3",2023-01-14 13:05:52+00:00,2023
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","Temple official assaults woman devotee, held in Bengaluru.
The incident happened on December 31.
#Bangalore #viralvideo #woman #assault https://t.co/3dwqjoefYL",2023-01-07 06:55:22+00:00,2023
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","@AirAsiaIndia @AirAsiaIndia do you think me or other people trust you aftr repetitive stuff like this one? Already suffered loss 4 pre-booked taxi so either compensate or arrange taxi at bangalore to drop
Why no information to customer abt reschedule? @MoCA_GoI #harassment #pain_airasia_india",2022-12-29 16:45:53+00:00,2022
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]",@IndiGo6E your services are pathetic and staff is rude. My senior citizen parents were harassed by your staff called Syed at Kanpur airport while travelling to Bangalore. Pl demonstrate that you care for customer by taking action #customerexperience #harassment @DGCAIndia,2022-12-26 04:07:03+00:00,2022
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","ಶಿವಮೊಗ್ಗ; ದಿನದಿಂದ ದಿನಕ್ಕೆ ಹೆಚ್ಚಾಗುತ್ತಿದೆ ಪುಡಿ ರೌಡಿಗಳ ಹಾವಳಿ

Police To GunFire On Rowdy Sheeter In Bangalore 

https://t.co/uSdCj18v3L

#vandali #vandalism #vandalized #vandalismus #Rowdy #rowdyism #RowdySheeter #Hafta #Installment #InstallmentPlan #InstallmentPlots #assault",2022-12-19 12:37:08+00:00,2022
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]","ಬೈಂದೂರು ಮೂಲದ ಬೇಕರಿ ಸಿಬಂದಿಗೆ ಹಲ್ಲೆ: ಮೂವರ ಬಂಧನ
ಪಕ್ಕದ ಚಹಾ ಅಂಗಡಿ ಮಾಲಕನೇ ಕೃತ್ಯದ ಸೂತ್ರಧಾರ

#Byndoor #bekary #staff #assault #bangalore  https://t.co/8DWyrExgzD",2022-12-11 03:00:01+00:00,2022
Bangalore (#harassment OR #assault),"[12.919037, 77.373474]",women who was in a live-in relationship in Bangalore murdered ಬೆಂಗಳೂರಿನಲ್ಲಿ ಲಿವ್ ಇನ್ ರಿಲೇಶನ್‌ಶಿಪ್‍ನಲ್ಲಿದ್ದ ಪ್ರಿಯತಮೆ ಹತ್ಯೆಗೈದ ಪ್ರಿಯಕರ #thenewsnap #Crime #breakingNews #LiveIn #Murder #WomenHarassment #Assault #KannadaNews #Banglore #Nepal #Karnataka #NEWS https://t.co/gMqKZXeyvS,2022-11-30 08:53:05+00:00,2022
